,review,ratio
12, The staff were not at all welcoming I would go so far as to say jaded if not unhappy at obe point seen arguing with a customer in front of customers The double bed I selected wasn t a double bed at all but two single beds zipped together and very poorly and uncomfortably at that So cheap Such a bad sleep There were mice scurrying around all over the property in full view of customers from the main lobby to near the dining and bar areas to inside my room where I saw mice on two occasions during my stay The room itself had too much wear and tear with walls visibly stained marked and damaged and the toilets showing mould in the shower Totally careless I asked for a non smoking room but the room I got reeked of smoke everywhere from the curtains to the toilet So bad I want a full refund ,2.0
13, The lifts were badly adjusted with dangerous gaps between the leading edges og the car doors ,0.6666666666666666
14, Parking was horrible The parking garage is very narrow and we drove in and out again when noticng it was full Near the entrance of the garage there were 3 members of staff walking around who did not inform anyone At least 4 other cars behind us drove in and back out again Then I walked up to ask where else we could park in the area and were told to just check out all the side streets and park there Then we drove around to find out that all parking there is for residents only After 30 minutes or so when then parked at the westferry circus garage which is a 10 minute walk away Since the garage did not mention maximum duration of parking we On the hotel itself the furnishings are a little outdated The carpets on the stairs for instance are quite worn Wifi did not work There was a card in the room with details but the network could not be found on either of the phones we had with The room itself was nice and clean Beware of the shower Water pressure is very good but the screen in front of the bath is fairly small so if you do not twist the shower head to the wall for an inch or so the whole bathroom will get wet The head is fixed to the wall and people over approx 1 85 m will not be able to stand under without squatting a little If I would have paid full price for this hotel frankly I would have been very disappointed Comparing to some 3 and 4 star hotels in London I have visited this hotel is more a 3 than a 4 star based on room comfort staff and parking ,2.0
15, Every part of this stay was horrendous From start to finish When we arrived the sockets did not work so could not charge our phones before heading out for dinner The room was dirty I Woke up in the morning to the bathroom flooded water had come all the way out to the room wetting bags shoes toiletry bags etc Could not get reception on phone for ages Nobody came to clean the mess could not get hold of a GM breakfast was awful Dry toast was all we could stomach eating as place was so dirty Needless to say we are in process of looking for a full refund from the hotel ,1.0
16, NOTHING,1.6666666666666667
17, Bathroom could of been to a better standard but everything in the bathroom did work perfectly fine ,4.0
18, The phone wasn t working in the room The steam room was out of action They the Sheff wasn t there to make sandwiches all day on menu there was no body there to do the massage in spa And when I mentioned my concerns to the staff and management they seemed not bothered about the issues Or to give a solution All round I think the the management and staff need to listen to the guests You can t offer these facilities without providing them ,1.0
19, Nothing it was great ,8.0
20, Hotel is very tired and overpriced for what it is Needs knocking down and replacing or complete renovation Beds poor with thin mattresses 2 singles pushed together to be a double etc ,1.0
21, The room I had could do with a bit of a spruce up especially the the en suite bathroom However it was all clean The Pizzeria in the hotel served very poor food The Indian retaurant in the hotel served deceent food ,1.5
22, As above,0.5
23, WiFi is not for free which felt a bit like early 2000 s,1.0
24, The fire alarm went off and no one said anything i wasnt sure if i needed to get out or not but by the time i put my clothing back on from swimming the alarm atopped so i stayed in my room also when i went swimming noe one told me i had to sign in this is something reception shld have told me whn i checked in as i did ask her the swimming times,2.6666666666666665
25, Staff Those of you with poker faces you should smile more you should ask a guest whether is in a need of help with luggage not just whether he she wants to pay in advance for breakfast or open an account with you or whether would prefer a more expensive room Also saying good morning and good evening to your guests once in a while is good manners Looking like a gentleman won t make you one after all it s not everything in life about money Wifi Rooms with windows at an extra charge of 20 pounds day Taxi companies you co operate with that instead of 5 mins they turn up in 35 It s not your fault entirely but most definitely not your guests ,4.0
26, ,2.5
27, ,4.0
28, There was no toilet brush The bathroom was generally threadbare There was no ability to tightly close the window therefore it was very cold in the night Also guests next door were pretty loud ,7.0
29, Hotel and staff a little sad need a bit of updating sprucing up Lovely to have a pool but the whole area was not very clean and needs more than a lick of paint ,4.0
30, The rooms did not look like the ones on the picture I had to change rooms because the first one was not what I expected Booked two single beds however the beds were only one armlength apart The closet door was broken Whn I asked the receptionist about the room on the pictures displayed on booking com I was told that those rooms do not exist Staff was friendly enough to over us a different room which was okay The furnishing was really outdated I was shocked that this is supposed to be a four star hotel There was no air conditioning in the room While it was only 15 C outside the roomtemperature was around 28 5 C Turning on the air ventilation was in vain and also incredibly loud ,0.3333333333333333
31, The angle of the TV was a bit annoying it was postioned facing away from the bed which I thought to be very strange The bathroom floor was quite slippy I nearly slipped and died The room was so hot too The air con just didn t do it any justice We couldn t feel it at all Due to the old fashioned theme of the hotel I believe they could probably upgrade the air con and possibly modernise it a bit more The armchairs though comfortable did have a huge rip down the back of it which I thought was a bit crude considering the location and the amount of visitors they must have ,2.6666666666666665
32, Rooms on the first floor do not have air conditioning Our rooms were unbearably hot Breakfast was poor ,0.5
33, Walking access from the train station was convoluted because of building works ,2.0
34, The build is not a new infraestructure the room was old fashion ,3.0
35, There was no water in the complimentry tray with tea and coffee There is NO fridge Carpet are old and smelly WiFi not available in rooms No free parking ,1.0
36, At breakfast not shown to table or offered tea or coffee Tables filthy standard of food appalling had a few mouthfuls and left Check out only one person checking guests out as another left to work in back office Not asked about my stay and not interested in me as a customer or future business Does not compare to the Hilton Group ,5.0
37, Hotel very tired don t see how it can be classed as 4star room ver hot no airconditon no windows in some rooms,0.5
38, Staff achieved the bare minimum of helpfulness but no desire to add value or go the extra mile Room was mostly clean but glasses in bathroom and and other objects were dusty ,1.0
39, Bathroom was old dirty and dated The basin did not work and the shower which was incorporated in the bath did not work well The breakfast was awful the coffee tasted bad the bacon smelt off there was little choice no continental option or very little the food looked unappealing and stale The cutlery plates and cups were dirty and felt greasy I tried to eat but felt distgusted and bought breakfast outside the hotel ,1.0
40, We couldn t stay all night as parking was full and there wasn t any parking nearby A quick call to reception for advise was unhelpful as they advised it was unsafe to park anywhere else The hotel parking on its own did not seem too secure either There is no access from the parking levels straight into the hotel pedestrians have to walk up and down the same way as cars go which is risky and a tad inconvenient too ,1.6666666666666667
41, Beds not comfy tried to charge us 20 night to upgrade to a room with windows when we had a room with windows anyway Booked a double room and given a twin room with 2beds pushed together complained changed room to a double Rooms very dated and old ,1.0
42, Cumbersome check in process poor wifi connectivity quality of breakfast should be better it should have a separate breakfast room or serving point for large groups of travelling children ,1.0
43, Breakfast was rubbish with the restaurant more like a canteen in Butlins ,2.5
44, The room was shabby with worn carpet and furniture The bed was uncomfortable The breakfast was disorganised and not of a quality that would be expected of a large city hotel Wifi was not really usable due to 20min per day Having to pay extra for hotel facilities eg pool ,3.0
45, Extremely disappointing No free Internet in room and you have to pay for every device you want connected once per day The breakfast buffet was not good For example the yogurt had the consistency of water The room itself had cracked yellow water stained drywall or plaster ceiling Sink didn t drain A C somewhat worked but the vent was almost plugged with dust They staff was definitely not very friendly but did their job adequately You ll survive a stay here but you aren t likely to particularly enjoy it I ve stayed at many roadside motels over the years that were cleaner nicer and a way way better value This is not a 4 star hotel experience If you arrive with the mindset that it s a place to sleep and won t be eating there won t need Internet won t spend any time in your room and don t sweat small stuff like a sink that won t drain it will be okay Otherwise probably try somewhere else ,7.0
46, It was very old fashioned and tired looking in many areas Would definitely benifit from a refit The shower in our room was very basic and sprayed all over the place which was very annoying while trying to get ready The plug socket nearest to the bed was an original fitting and so couldn t actually be used with a modern plug Very basic overall rough around the edges ,0.8333333333333334
47, The rooms aircon was noisy and not very effective The view was a aircon unit upon a roof and the whole experience made me feel I was back in the 80 s We stopped there as I was attending a conference at The Excell Centre and when I typed in hotels close to the Docklands it bought this one up It was close to the other side of the Docklands which then still cost us 15 in a cab to reach Shame as booking com have let themselves down with this hotel ,1.0
48, Unfortunately the rooms are a bit dated and the carpet could have been cleaner as there were stains on it ,2.0
49, Hotel staff was not cooperating at all Beds were separated Spring Mattress were paining in back like hell Bathroom sinks were choked Had to brush in Bath tubs Cleaning staff was pathetic Swimming pool was chargeable Internet wi fi was free for a whole 20 minute session in whole day and that too in hotel lobby and not in room Overall the property was not value for money at all and staying there was a nightmare ,1.0
50, The room had no air conditioning and the windows don t open and the heat was well in the 20c all night building work a few yards off the building so the windows are dirty staff very good ,2.5
51, No air conditioning in rooms When paying over 100 a night you would expect air con However the room did have a little fan to help blow the hot air around the room Also I left some expensive items in the bathroom but when I called the next day the receptionist informed me nothing was handed in Can t say surprised but very disappointed ,0.25
52, wifi was a bit complicated you are allowed to use free wifi 2 times for 20 min in a day in the room if you want all day hotel requests extra money but in the lobby area it was free so people were sitting in the lobby area on the evenings ,0.5714285714285714
53, Wifi not free after 30 mins really considering it s 2017 Electric sockets near bed side were unusable as they were 3 pin again It s 2017 the rooms need to facilitate modern technology use and ease of access Food price good but bland bland bland Poor mass produced deserts,1.25
54, Overpriced No good value for money ,0.5
55, Nothing,0.6
56, She room upstairs are a bit dated and the lefts take forever to come had to use the stairs at one point ,4.0
57, The staffs who were there in the morning don t use words called thank you and sorry We couldn t have breakfast because there was a very long queue When we requested for a refund for the breakfast the lady at the check out counter gave us a rude look and said non refundable A polite word would do the magic The food at the Indian restaurant was not up to the mark ,4.0
58, The hotel was a bit far from the sight seeing and tourist activities that we had planned The walk to the underground was a bit far also Spent a lot of time traveling to and from London Center Also the construction made finding the entrance difficult and it was a bit noisy ,3.3333333333333335
59, The facilities and decoration are so old ,0.6
60, The queue for the breakfast was very long and not worth waiting in Very expensive for what the hotel offered and there is nothing around the hotel at all The tube station is around a 5 10min walk ,2.0
61, There was a strange sound through the whole of the night and called the manager to try and fix the problem Next day he said the problem was fixed after he sent a maintenance team The second night of course the sound was there It was a sound which resembled a phone vibrating which come from the ceiling bathroom For the 4 star rating is not acceptable Another issue there was not any fridge in the room ,4.0
62, The bed was like sleeping on a chain link fence and the neighbors and hallway were noisy ,2.0
63, I know I booked a budget room but I didn t realize rooms without windows even existed anymore but that s what I got Nor did it have air conditioning Just a fan The daytime temperatures were about 30 degrees so I had two uncomfortable nights Had I known all this in advance I probably would have paid more for something better or an Airbnb I actually dreamed about being on holiday in North Korea It was that good My other gripe was the length of time it took to get a beer Short queues at the bar took forever to get to the front of mainly because people were buying huge rounds of drinks The bar girl did her best but the odds were stacked against her More bar staff might be an idea Plenty of people without my determination and unquenchable thirst gave up and I don t blame them My third and final gripe is the external camouflage of the hotel which is labelled the P Hotel outside with no obvious clue as to its claimed name of Britannia International For a non London dweller like me simple things like this matter quite a lot when I am hot and tired and lost ,1.375
64, No mention of an extra charge for leisure facilities online or when checked in Had to go up to the room again to get cash When queried this at reception the lady was unhelful unfriendly and unapologetic One manager was very friendly and helpful however other staff did not smile or make conversation Leisure facilities were very poor The rest of the hotel was clean and tidy Leisure area carpet was filthy dirty rubbish bag on the floor carpet looked like it had not been hoovered Sauna was cold pool was cold pool area was outdated including walls peeling generally run down Dirty flannel at side of hot tub ,3.5
65, The rooms need a bit of a facelift The double bed is made up of two singles stuck together New carpet is needed ,0.5
66, My experience with this hotel was quite bad as follows When we had arrived we were not greeted at the entrance by any concierge or bellboy and left to us to take our luggage into the hotel ourselves but once we got to the front desk I began speaking to one of the staff and was rudely interrupted by another most likely more senior staff who insisted on assisting with my check in Once all of the particulars were given it was time to speak about the payment even though I had already made the booking and payment through booking com What annoyed me tremendously is the way in which I was spoken to it seems many hotels in London have staff with attitude problems where they speak to guests as if they cannot afford the stay so to speak Quite infuriating and pretty much set the precedent for the rest of the stay The bed was ridiculously small for 2 people if you make a half turn from the centre of the bed you are already at the edge of the bed Good luck if you toss and turn during sleep don t be surprised to find yourself waking up on the floor The room looked tired and unattractive the carpets were frayed inside the room and in the corridor and all of the furniture in the room was worn and tired I approached the front desk requesting assistance in organising a chauffeured ride to Heathrow Airport and instead of assisting me the front desk staff just told me to speak to the concierge Nothing wrong with that but the problem in this case was that there was no human being at the concierge desk which was right across on the right hand side of the staff member All she had to do was look to the right and she would have seen there was no one there In any case I walked across waiting 10 minutes for someone to come but no one appeared which was quite disturbing I just gave up in the end and used an online booking service instead ,1.1875
67, ,1.6666666666666667
68, The coffee was undrinkable The air con was pathetic When 2 coach loads of new guests all arrived together it took 3 4 of an hour to be able to use the lifts ,1.0
69, Hotel a little tired needs a refurb and surrounded by a building g site at the moment,0.75
70, The staff at reception should have greeted us with a smile They did get more smiley after my partner made a joke or two but it had to be prompted ,2.0
71, Paid for wifi in 2017 Really Even the free 20 minutes wouldn t let me VPN or tunnel traffic to access remote systems for my work just basic browsing possible I travel to Canary Wharf for business most weeks this one problem puts Britannia at the bottom of the accommodation options for me The windows were dirty outside so the advantage of a good viewpoint was negated Windows wouldn t open aircon not up to the job min temp max fan and the room was still too warm it would have been fine if a window was able to be opened Furnishings decor were functionally fine but a little dated and shabby ,3.0
72, Uncomfortable bed pillow Windows didn t open and air con was very poor Shower flooded entire bathroom and fell off wall continually when spoke to reception rude stated it s hand held only didn t say that in their description of facilities Breakfast was horrible and general cleanliness in dining room poor,5.0
73, Staff response to friend being locked int he toilet as a disappointing they found it very amusing and did nothing to reassure the person trapped No apology was provided nor anything done to temporarily fix the issue which had happened before ,4.0
74, The service at check in was poor There were four staff but only one was dealing with customers waiting to check in There was no safe or fridge in the room Use of in room internet was 7 00 and use of security boxes was chargeable as well Poor selection of tea and coffee options in the room no decaffeinated alternatives ,3.0
75, Use of pool and gym had to be paid for That was a bit disappionting Building need a bit of maintenance ,3.0
76, Due to all the building works locally getting to the hotel wasn t easy not helped by reception staff giving you the wrong information about the quickest route which was closed Waited 15mins for bar staff to serve me and then gave up ,0.5
77, The room was surprisingly spacious and the theme was jovial it felt like an escape It was a brilliant location and tube links to other parts of London made it easy to reach our play on time The cocktails were good We got in late from our play and there was good food available but could have been better ,3.0
78, The hotel was quite impersonal The view from the window was a little off putting It looked straight out onto the river It was like being on board ship or staying in Venice ,2.3333333333333335
79, Absence of safe box in a room No fridge Wifi is free for only 20 minutes a day Fungus in bathroom room 933 Air conditioning was poor ,0.5
80, The whole hotel is very tired old fashioned and over furnished The air con only put out 30 degree heat so it was really difficult to get the room cool The view was good but there is a building going up right next door so that view of the water isn t going to last long There is a reason why its cheap in the area but if its value for location rather than pretty surroundings you re looking for this is it ,8.0
81, The breakfast was disorganised chaos a lot of food was under cooked or not available our table was cleared whilst we waited for food on the first day Our table was used as a dumping ground for pots by a waitress who was clearing another table and when we complained to one of the waitresses it was met by a shrug of the shoulders and raised hands to indicate what could she do about it ,1.0
82, No hot water Stayed 3 nights and only managed 1hot shower Breakfast was hit and missed first two mornings was fine but it was cold on the 3rd morning but also crazy busy too ,2.5
83, Room wifi should be provided for free And TV screen was small for the room ,2.0
84, Could do with a spruce up a lot of building work going on,0.42857142857142855
85, Staff extremely rude and unhelpful at check in and when I asked to speak to the Hotel manager the next morning he must have attended the same charm school as his staff as his attitude was just as dismissive ,1.0
86, Just a little tired had to ask for bath towels which were then supplied promptly and could not get a nightcap Baileys when returning around midnight Main bars closed Pizza place only served beer and wine ,2.0
87, Got what I thought was a special offer price that seemed more like a price for substandard experience Hard to find the room corridors like a Warren with paper signs that were worn and grubby No porter and a dismissive point from the concierge to get a trolley ourselves Once maneuvered onto correct floor had to get two very heavy cases and two smaller up 6 stairs then get them through the maze of corridors that were semi blocked with maids trolleys The hotel felt more like a hostel with crowds of youngsters congregating in the lobby for coaches then in the evening slouched over the sofas some asleep Every morning we were woken early by loud shouting down the corridors from what appeared to possibly be construction workers Most awful hotel experience I ve ever had which constrasted greatly with that when this hotel first opened Staff were also unwelcoming Would never stay there again ,1.0
88, Nothing ,1.4285714285714286
89, We had a double bed that was hard and had no valance that made it look rather tatty The wash hand basin tap in the bathroom didn t work which we complained about immediately but was never repaired We were initially given a room on the second floor that looked out over a flat roof complete with full black plastic bags We complained and were then given a room on the 8th floor that was much better ,2.6666666666666665
90, The hotel needs refurbishment as it looks very tired My partner and I had a room with stains on the carpet and cob webs in the window ,3.0
91, Room didn t have a window which we were aware of but there was no air con Very hot small room Expected a bit more for the amount we paid Hotel was tired needs a bit of TLC WOULDN T STAY AGAIN ,1.0
92, No free wifi and everything was 1000 yrs old and tired even the staff but i felt sorry for them cos it wasnt their fault ,1.0
93, For the money 350 it was an awful place tired needs redecorating not even biscuits in the room or a shower gown and slippers Absolutely appalling ,1.0
94, AC was bit noisy but worked well There s a 20 min complimentary wifi available in the lobby and I was able to connect to that from my fourth floor room as well but if you need a faster connection for work and 24 7 use it costs seven pounds per day In these times when free fast wifi is everywhere I would highly recommend the hotel management to consider wifi revamp ,1.5
95, Some of the reception team spoke little English and you had to write a note for them to pass on No decaff coffee sachets available for the room,1.3333333333333333
96, There can t still be many hotels that still charge for Wi Fi in the room Just tethered my phone but I still find it annoying and a disincentive to book again Also is it usual to charge residents for use of the gym Don t book breakfast at time or reservation or charge breakfast to room Book breakfast when you check in for 30 cheaper for what is otherwise a rather expensive but average buffet breakfast weird but useful to know ,1.0
97, the internet wifi not good at all its not free the room was so hot no air condition at all also the windows not open view was bad the room was not sea view,1.0
98, The bed was too hard very noisy as there was construction work next to the hotel which was also our view ,6.0
99, Think the beds could be comfier If we weren t so tired from all the walking during the day think it would have been a bit of struggle to get a good nights sleep But then again if it had a refurb the price would go up ,3.0
100, Reception staff were unfriendly one was extremely un cooperative about check out procedures Room was shabby and the tea coffee provision was very poor Toiletries also poor Overpriced for what was provided and has definitely gone downhill since I first stayed there several years ago ,1.6666666666666667
101, The room was quite large could have done with a small fridge The bath towels were a little too thin in texture I would have expected them to be a bit larger than they were The mattress was a little too hard for our liking ,0.75
102, I arrived around 11pm and the reception staff were being helpful sorting out people whose rooms didn t have aircon and a group with a billing question but it meant I had to wait 45 minutes to check in There were other staff in the office who I felt should have noticed there was a queue and come out to help Both single beds in the room were very basic narrow beds which looked and felt rather temporary the bed was comfortable enough but it seemed a bit cheeky for the price That plus getting only 20 minutes free wifi made it feel slightly over priced ,1.0
103, The air con in our room was broken on the hottest day of the year we were unable to open the windows fans were provided but they only succeeded in pushing hot air around The extractor fan in the bathroom didn t work at all and we ended up sleeping with the door open as the air con was working in the corridors I don t think we would stay again,3.0
104, When I booked my confirmation screen said wifi parking and swimming pool were included but when I arrived reception told me I would need to pay an extra 4 per day to use the pool and gym Also the wifi is only free in the lobby so the way this location is advertised on Booking com is really deceiving and unfair ,2.0
105, Staff attitude Hot room Air conditioning not working long story but we asked 5 times and nothing was done even though they said it would Shower broken Furniture old and tatty Tea making facilities minimal Many other problems ,1.0
106, That insodemt put a damper on the hole holiday,0.3333333333333333
107, AC per room,1.0
108, The staff s attitude and the hot room,1.0
109, Would have been better if you didn t have to pay 7 for wifi per device per room that is far too expensive,7.0
110, I booked the room through booking com but when we arrived the lady at the front desk said for the price I paid on this site we d have a room with no windows They offered an upgrade to a superior double room with king size bed on the top floor for 30 The only truth in the upgrade was the top floor bit The bed was smaller than a standard double there were flies in the room and was not superior to anything I spoke to the manager about the problems and he offered a room change we d already unpacked and got as settled as we could so all I wanted was the upgrade money back That didn t happen The breakfast the next morning was not worth the 10 each The bacon was like cardboard the eggs didn t taste right and the whole breakfast was a huge let down So the price started on here as 73 I ended up paying 150 which included 24hr parking the upgrade and breakfast for 2 Not impressed with any of it a Premier Inn would have been the better option ,1.3333333333333333
111, Old style My room was a Den I had to pay 20 to upgrade Wif fi is chargeable and the staff at check in was not helpful i asked the lady 3 times to explain to me what I had access to etc she kept showing directions lol Great location needs revamp but some may like that style ,1.0
112, Everything needs to be paid additional breakfast spa facilities and everything ,2.0
113, Single bed was quite narrow and the room has seen its best days chips and detrition here and there Noisy AC ,1.6
114, If you wanted to use the pool you had to pay extra That was a bit much considered I paid over 100 for one night Would not go again based on that,1.0
115, The Bar seemed to close very early on the Saturday night which was a bit of a pity we were given 10 minuted to get our last orders in and when I got up 2 minutes late to order our drinks we were told the time was up and the barman closed a rail in my face We then spoke to the Barman who agreed to serve us our last drinks as there were a few people also in our predicament However it did put a sour taste in our mouths as it was our first night there and the following night we went to another pub instead ,1.1428571428571428
116, Friendly staff quiet location beautiful hotel relaxing and welcoming with a fantastic range of cuisine from the restaurant ,2.0
117, 1 Coffee at breakfast was simply vile Large flasks of stewed tepid bitter coffee Yuk 2 The whole place is at best tired and old fashioned at worst grubby dusty dilapidated 3 The entire surroundings are construction sites with high rise concrete buildings springing up This meant that the most convenient route to the hotel from the tube or DLR are all blocked requiring a detour Also work on the nearest site 20 yards from our bedroom window began at 7 30 drilling clanging of scaffolding yelling etc We would have expected to be told about this at the time of booking ,1.5
118, Everything was bad wifi wasnt working charging port wasn t near bed Reception was trying to tell me to upgrade my room Food was pathetic and the attitude if staff was also bad and disrespectful For room service it was additional 5 pounds Probably the worst hotel i have ever stayed in Not recommend at all,1.0
119, The room itself was so old fashioned they are in definate need of a total revamp curtains carpets etc bathroom taps were full of limescale parts missing shortage of electrical sockets I m glad I was only there for one night ,1.0
120, N A,1.5
121, Filthy exterior Windows hadn t been cleaned for years Ceiling mirror tiles near reception had similarly not been cleaned for years In our room the carpet was rotting near the edges The furniture was well worn as was the general decoration The power sockets were a strange mixture of modern uk 3pin and 3pins with large round Earth at the top TV was old so no subtitle facility The shower could be set to either scalding hot or freezing cold but nothing in between The beds themselves were of only poor quality ,1.3333333333333333
122, No wash cloths staff didn t even understand what they were Room had no A C but they offered to open the windows Moved us to a room supposedly with A C but it was a smoking room windows kept opening so dirt dust as well as residual smell from smoking made room unbearable Furnishings were all nicked up carpet dirty sofa stained and hot water control on shower so sensitive you either had cold or scalding water ,1.0
123, The room was unclean I booked a double room but was apparently upgraded to a suite which had 2 single beds pushed together The room temperature would not drop below 26 degrees no water in the room which I find in this day and age and at the cost we paid was unacceptable the room was in need of a refurbishment the shower was either red hot or freezing cold The windows in the downstairs bar were absolutely filthy the air con also didn t work anywhere on the ground floor The furniture in the downstairs bar and foyer area need replacing as it had pieces of tape holding splits in the leather together The staff behind reception were grumpy and were not helpful at all the staff in breakfast were all young children and were lacking leadership and needed to be motivated there were many tables uncleaned with the previous persons plates still sat there the presentation of the food looked rushed and was chucked in dishes to try and keep up with the masses of people queuing to get into breakfast I actually went in for breakfast early prior to going for a meeting and was waiting so long I had to leave as I would have been late for my meeting The staff in the bar were actually very nice and did there best for us ,1.0
124, the bar staff didnt seem to care at all that we were waiting and just stood talking amongst theirselves We arrived on a day where the temp was close to 30 degrees entered our room to find no air con and no windows the bed was very uncomfortable and pillows likewise,5.0
125, My son s room was a poky little corner room with now windows no air single bed and no room to swing a cat The rooms were old and furniture was very poor quality Our bed had an old wooden frame The check in took ages It cost 155 per room The breakfast was very poor quality greasy food and little selection When we tried to speak to someone about the rooms and other complaints we were fobbed off by saying we needed to complete an online form We won t be staying again Premier Inns and Travelodge are much better quality in service and in decor beds and furniture ,1.0
126, This is the first time booking com have let me down This is not worth the money I paid 290 for a standard room for 1 night is a joke when the next night was on offer for 67 and then up to 147 the next day just because a concert was on awful hotel dirty smelly fusty room aircon broke 32degrees outside windows in breakfast finger prints all over staff at breakfast very rude i arrived at 9 50am and half the place was closed off nobody to greet me show me where to sit couldnt find table with cutlery or cups got hot breakfast sat it at table to get toast and fruit time i got to fruit area was 10 01am gone Taken away staff hovered over waiting on my plate to whisk it away complained at reception to no avail ,1.0
127, No biscuits with the tea coffee But that wasn t a serious gripe ,11.0
128, This was a very warm time of the year for England and the air conditioning in the room did not work I had to complain to get a better room with working air conditioning I don t think they should charge for the use of the fitness center or the pool ,3.0
129, I did not like being charged for the same room twice and not being able to get a refund of either the hotel or booking com Both blaming the other party ,2.0
130, The bed was very uncomfortable The leisure facilities could do with an upgrade or at least a good clean The door to the sauna was broken and there were dangerous loose floor tiles Charging 4 for residents to use these facilities and 1 non refundable for the towels ,1.5
131, Inside the hotel is shabby dirty and old There was a cockroach in the Italian restaurant which the staff laughed about and there was a mouse in the bar later that evening Terrible Never seen such things in a London 3 4star hotel ,2.0
132, the car park was charged at 21 and it isn t even their car park they won t call u a cab u have to go out on the roadside and hale one my wife is in a wheelchair they were rude and disrespectful towards her,1.0
133, The main issue of the hotel has been temperature When I arrived there were 34C degrees in the room not a good start After one hour of maximum AC still 34 degrees Management offered a fan but that didn t help and the night turned into a nightmare Windows can not be opened It is not acceptable to let guests sleep in a room with 34C degrees The next night I had to keep the door open for a couple of hours to get the temperature to drop a little It was not a problem of my room as I talked to other guests and they were all experiencing the same Breakfast quite basic and this would be OK but a small buffet at the end of a stretched room meant a long queue to just get some fruits In a nutshell don t get this hotel in summer especially if you re traveling for business Not a good idea to have a business meeting after a restless night soaked ,3.5
134, Our room had no window just a mural It was so hot in there and there was one vent fan whirring all night above us that was very noisy was booked into room 137 so avoid that one Didn t sleep much at all There was also something taped off that looked like a vent on the ceiling that didn t look very nice ,4.0
135, Quite pricey considering there was no window or breakfast included The room had air con but we couldn t adjust it and with no window the room was far too hot ,3.0
136, 1st room was small dirty walls paint peeling and windows that didn t open We got moved after complaining to an alternative room Junior suite this was a smoking room neither of us smoke but limited availability The whole hotel is dark and very tired with threadbare carpets A lot of money for a poor hotel ,3.0
137, That whilst checking in the 3 members of staff didn t even acknowledge the queue that was forming I was offered a free up grade to a room where the curtains had to stay closed due to the work outside and the heat was unbearable,6.0
138, It was absolute waste of money really dirty room dirty bathroom Air con was not working when I complained about it they replied Sir it is too warm today so thats why its not working but we can give you a fan if you want one and regarding dirty room reply was we will try to clean it later ,3.0
139, The room is quite small and without a window Frankly with the whole day spent in meetings that feature was not missed The corridors are quite winding and the Fire Exit signs are not clear That can be a safety hazard ,0.8
140, TV didn t work and no plugs near kettle Rooms with no windows are too hot artificial airflow needed ,2.5
141, didn t like anything the rooms were small and not worth for the amount paid the WIFI was not provided across the rooms which was huge drawback for the business trips Buying Dinner Vouchers and not reaching in time is waste of money so i advice to choose outside the hotel rather having at the premises ,1.5
142, ,1.0
143, Old school furniture and decoration The room was quite dark Breakfast was always very crowdy and noisy the food not really tasty Very touristic hotel and impersonal ,1.0
144, The rooms was dreadful too hot and stuffy crammed with dreadful furniture that was ruined and a filthy stained carpet The late staff serving a very limited chips or garlic bread was so rude we were shocked ,1.0
145, Old dated Stains on wall Small flimsy towels Very basic considering supposed to be 4 star Breakfast below par Scrambled egg was green bacon grisly coffee cold Been to better travellodges ,1.0
